Unique Loan ID,Product,Product Type Vertical,Customer Id,Order Type,Origination Date - Vintage,GMV - USD,Down Payment Amount - USD,Loan Amount - USD,Current Loan Balance - USD,Total Paid Towards Capital - USD,Total Paid Towards Fees - USD,Amount in Arrears without fees - USD,Fees Accrued - USD,Installments in Arrears,Amount to be Caused,Installments to be Caused,1st Installment Due Date,1st Installment Amount - USD,1st Installment Completion Date,Delay for 1st Installment Payment - Days,2nd Installment Due Date,2nd Installment Amount - USD,2nd Installment Completion Date,Delay for 2nd Installment Payment - Days,3rd Installment Due Date,3rd Installment Amount - USD,3rd Installment Completion Date,Delay for 3rd Installment Payment - Days,Order Status,Loan delay - DPD,Factoring,FPD,Transaction Period,Merchant Id,User Credit Score
12221659,SPLIT_3,Moda,aBdi9FMpSg+4DsAQ/vrqZQ==,Follow up order,21/12/2024,55.0,33.0,22.0,0.0,22.0,0.0,0.0,0.0,0,0.0,0,04/01/2025,7.33,03/01/2025,0,18/01/2025,7.33,17/01/2025,0.0,01/02/2025,7.33,01/02/2025,0.0,CLOSED,,No,No,42,ntuyJ19vJGfInN55VioMow==,376.0
18354306,SPLIT_1,Supermercados,zakkeAXHaMrtBJjhI5u1Lw==,Follow up order,26/03/2025,45.25,11.31,33.94,0.0,33.94,0.0,0.0,0.0,0,0.0,0,09/04/2025,33.94,31/03/2025,0,,,,,,,,,CLOSED,,No,No,14,HON0hSaqE0byLPFVNe0nnQ==,296.0
8631075,SPLIT_1,Supermercados,J6w9A4A+FU3F4IBn6As5LA==,Follow up order,01/11/2024,54.62,32.77,21.85,0.0,21.85,0.0,0.0,0.0,0,0.0,0,15/11/2024,21.85,14/11/2024,0,,,,,,,,,CLOSED,,No,No,14,iTsIO2xva0VuJgrBUvswTw==,410.0
14255153,SPLIT_1,Farmacias,ncuVDzBpD0y+5dLmLmbh+Q==,Follow up order,19/01/2025,84.37,33.75,50.62,0.0,50.62,0.0,0.0,0.0,0,0.0,0,02/02/2025,50.62,31/01/2025,0,,,,,,,,,CLOSED,,No,No,14,SEVuD31xnjfD4bAOBfLNBw==,438.0
13516920,SPLIT_1,Supermercados,A0yrX4QTpukiQvi526N/4w==,Follow up order,03/01/2025,70.12,28.05,42.07,0.0,42.07,0.0,0.0,0.0,0,0.0,0,17/01/2025,42.07,16/01/2025,0,,,,,,,,,CLOSED,,No,No,14,nkaRdQzwf20Y4d2kOW/nxw==,456.0
15393279,SPLIT_1,Supermercados,Va4ESCAURbl1wcehloPCXQ==,Follow up order,09/02/2025,25.53,15.32,10.21,0.0,10.21,0.0,0.0,0.0,0,0.0,0,23/02/2025,10.21,12/02/2025,0,,,,,,,,,CLOSED,,No,No,14,yJfrqIiCjqWc3/lWV5BNRw==,449.0
14743481,SPLIT_3,Tecnología,8BI47y8Q6J1r4el1F69X+Q==,Follow up order,29/01/2025,249.99,125.0,125.0,0.0,124.99,0.0,0.0,0.0,0,0.0,0,12/02/2025,41.66,11/02/2025,0,26/02/2025,41.66,25/02/2025,0.0,12/03/2025,41.66,11/03/2025,0.0,CLOSED,,No,No,42,l3fnODoc0dcnoLbn6bAvGw==,12.0
16916751,SPLIT_1,Supermercados,Dn0oB4oxLAPEh5/wehFt8g==,Follow up order,04/03/2025,36.32,21.79,14.53,0.0,14.53,0.0,0.0,0.0,0,0.0,0,18/03/2025,14.53,19/03/2025,1,,,,,,,,,CLOSED,,No,No,14,iTsIO2xva0VuJgrBUvswTw==,334.0
11424862,SPLIT_3,Servicios,RlH/eNFOgsDEsBfRc2PJVA==,Follow up order,15/12/2024,28.0,11.2,16.8,0.0,16.8,0.0,0.0,0.0,0,0.0,0,29/12/2024,5.6,19/12/2024,0,12/01/2025,5.6,19/12/2024,0.0,26/01/2025,5.6,19/12/2024,0.0,CLOSED,,No,No,42,v6sAMHNMFFet3zOQ+Zw6gQ==,27.0
14342915,SPLIT_1,Farmacias,zdytFJ/PAQJW+sYvmBJlAw==,Follow up order,20/01/2025,56.56,22.62,33.94,0.0,33.94,0.0,0.0,0.0,0,0.0,0,03/02/2025,33.94,01/02/2025,0,,,,,,,,,CLOSED,,No,No,14,Z+kqz6YUtrCMely1yVv4vg==,11.0
17692126,SPLIT_3,Hogar,F6SKjncAUqOG23vawNyb8A==,Follow up order,16/03/2025,136.0,68.0,68.0,22.67,45.33,0.0,0.0,0.0,0,22.67,1,30/03/2025,22.67,16/03/2025,0,13/04/2025,22.67,21/03/2025,0.0,27/04/2025,22.67,,-26.0,IN_PROGRESS,,No,No,42,Lg75X0DM5rVojo1hyrDvpw==,505.0
11575353,SPLIT_1,Restaurantes,tblf5yoE+iLmP+L1Svj9aQ==,Follow up order,16/12/2024,18.46,11.08,7.38,0.0,7.38,0.0,0.0,0.0,0,0.0,0,30/12/2024,7.38,30/12/2024,0,,,,,,,,,CLOSED,,No,No,14,edVTGNHhy4iY0CN4Suw8Aw==,420.0
12355457,SPLIT_3,Moda,crmlENHjv6e8pLtU55Dffg==,Follow up order,22/12/2024,32.49,19.49,13.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0,05/01/2025,4.33,06/01/2025,1,19/01/2025,4.33,20/01/2025,1.0,02/02/2025,4.33,04/02/2025,2.0,CLOSED,,No,No,42,jlnNtPj0MMUjz4Uoyy9Fpg==,477.0
14521166,SPLIT_1,Supermercados,H6sRZvbc2j3YS420AzFwBg==,Follow up order,24/01/2025,26.8,10.72,16.08,0.0,16.08,0.0,0.0,0.0,0,0.0,0,07/02/2025,16.08,01/02/2025,0,,,,,,,,,CLOSED,,No,No,14,7pHC94OxVCo/XxhxusQtxQ==,517.0
18513664,SPLIT_3,Hogar,F5pCMe7GdSQi74WiTGLOig==,Follow up order,29/03/2025,80.0,48.0,32.0,32.0,0.0,0.0,0.0,0.0,0,32.0,3,12/04/2025,10.67,,-11,26/04/2025,10.67,,-25.0,10/05/2025,10.67,,-39.0,IN_PROGRESS,,No,No,42,54QqRofD50uh/+aBKvorGQ==,370.0
10155065,SPLIT_3,Moda,M5JNSiCbc2aBuv4r3Urw7g==,First order,29/11/2024,77.0,46.2,30.8,0.0,30.8,0.0,0.0,0.0,0,0.0,0,13/12/2024,10.27,10/12/2024,0,27/12/2024,10.27,25/12/2024,0.0,10/01/2025,10.27,07/01/2025,0.0,CLOSED,,No,No,42,JOtgkrN0VF34Z2mv1+6SIw==,361.0
11741416,SPLIT_3,Herramientas,+ncK7PNoToCyiO8A4czGrA==,Follow up order,18/12/2024,33.64,20.18,13.46,0.0,13.46,0.0,0.0,0.0,0,0.0,0,01/01/2025,4.49,28/12/2024,0,15/01/2025,4.49,03/01/2025,0.0,29/01/2025,4.49,16/01/2025,0.0,CLOSED,,No,No,42,Tsb/5dSdi4sCTqd9U//jpQ==,451.0
9489450,SPLIT_1,Supermercados,+iIgIbezOggXBEayIJiiZg==,Follow up order,17/11/2024,49.98,29.99,19.99,0.0,19.99,0.0,0.0,0.0,0,0.0,0,01/12/2024,19.99,30/11/2024,0,,,,,,,,,CLOSED,,No,No,14,nkaRdQzwf20Y4d2kOW/nxw==,413.0
9329938,SPLIT_3,Moda,fT6fcaJ9lrKJkpL/1BNwkA==,Follow up order,16/11/2024,41.95,25.17,16.78,0.0,16.78,0.0,0.0,0.0,0,0.0,0,30/11/2024,5.59,29/11/2024,0,14/12/2024,5.59,30/11/2024,0.0,28/12/2024,5.59,13/12/2024,0.0,CLOSED,,No,No,42,8Zxv9GJ4cUc2+KQvP/HREQ==,406.0
18564074,SPLIT_3,Deporte,ft/MbdioKGKgomWyUg60zw==,Follow up order,29/03/2025,55.0,33.0,22.0,22.0,0.0,0.0,0.0,0.0,0,22.0,3,12/04/2025,7.33,,-11,26/04/2025,7.33,,-25.0,10/05/2025,7.33,,-39.0,IN_PROGRESS,,No,No,42,f5Np7hfaNJ+IHt5UXJAurw==,425.0
17654823,SPLIT_3,Deporte,qLvgz9/5kO0Alw9eBK+rVA==,Follow up order,16/03/2025,50.0,30.0,20.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0,30/03/2025,6.67,30/03/2025,0,13/04/2025,6.67,30/03/2025,0.0,27/04/2025,6.67,30/03/2025,0.0,CLOSED,,No,No,42,T11ymAYQ+iBitnPVXvYVPg==,462.0
16539556,SPLIT_3,Deporte,Hea2Px8bvTFrZ7Mun43SWQ==,Follow up order,27/02/2025,28.33,11.33,17.0,5.67,11.33,0.0,0.0,0.0,0,5.67,1,13/03/2025,5.67,05/03/2025,0,27/03/2025,5.67,20/03/2025,0.0,10/04/2025,5.67,,-9.0,IN_PROGRESS,,No,No,42,7zRO7wMDFpHXWpsQTk0Eqg==,502.0
15430611,SPLIT_1,Supermercados,bsPRpRW8OpRsxwEYbD/g8g==,Follow up order,09/02/2025,123.14,49.26,73.88,0.0,73.88,0.0,0.0,0.0,0,0.0,0,23/02/2025,73.88,22/02/2025,0,,,,,,,,,CLOSED,,No,No,14,PN1wd0fA257WikPjq7fG4A==,370.0
11428636,SPLIT_3,Hogar,oSajoATSZpasquZxFQlGpA==,Follow up order,15/12/2024,39.99,23.99,16.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0,29/12/2024,5.33,24/12/2024,0,12/01/2025,5.33,06/01/2025,0.0,26/01/2025,5.33,17/01/2025,0.0,CLOSED,,No,No,42,YCP1aZI53vtLqP9R4u+01Q==,483.0
11815020,SPLIT_3,Deporte,qCtQqmHagpkjMkqAZq6UGQ==,First order,18/12/2024,154.5,92.7,61.8,0.0,61.8,0.0,0.0,0.0,0,0.0,0,01/01/2025,20.6,29/12/2024,0,15/01/2025,20.6,12/01/2025,0.0,29/01/2025,20.6,19/01/2025,0.0,CLOSED,,No,No,42,me96Wy1Ue0H+PLI+tTZI1w==,438.0
10289680,SPLIT_1,Supermercados,FwV6US5y9rSgczgyfWzpbA==,Follow up order,30/11/2024,53.5,21.4,32.1,0.0,32.1,0.0,0.0,0.0,0,0.0,0,14/12/2024,32.1,11/12/2024,0,,,,,,,,,CLOSED,,No,No,14,iTsIO2xva0VuJgrBUvswTw==,431.0
10659335,SPLIT_3,Deporte,jXXzBbpLdmG43cCqOXG80Q==,Follow up order,05/12/2024,150.0,90.0,60.0,0.0,60.0,4.0,0.0,4.0,0,0.0,0,19/12/2024,20.0,19/12/2024,0,02/01/2025,20.0,03/01/2025,1.0,16/01/2025,20.0,19/01/2025,3.0,CLOSED,,Yes,No,42,KvdDqKmcKSPR4dwl2sJAwQ==,420.0
18490959,SPLIT_3,Hogar,2tY4MID7rvDqD0q581GsOA==,Follow up order,29/03/2025,360.0,144.0,216.0,144.0,72.0,0.0,0.0,0.0,0,144.0,2,12/04/2025,72.0,30/03/2025,0,26/04/2025,72.0,,-25.0,10/05/2025,72.0,,-39.0,IN_PROGRESS,,No,No,42,54QqRofD50uh/+aBKvorGQ==,454.0
11643493,SPLIT_3,Hogar,867COZoGjh3CX4/jdiaXWA==,Follow up order,17/12/2024,30.0,18.0,12.0,0.0,12.0,8.0,0.0,8.0,0,0.0,0,31/12/2024,4.0,31/12/2024,0,14/01/2025,4.0,15/02/2025,32.0,28/01/2025,4.0,15/02/2025,18.0,CLOSED,,Yes,No,42,54QqRofD50uh/+aBKvorGQ==,473.0
